neighbourhood_group,price_category,price,minimum_nights,number_of_reviews,availability_365
Brooklyn,0-100,,,,
Brooklyn,101-200,146.76826196473553,4.790931989924434,62.483267362360564,139.909679740914
Brooklyn,201-300,250.01353965183753,4.762088974854932,54.458413926499034,155.77176015473887
Brooklyn,301-400,355.18791946308727,3.348993288590604,55.718120805369125,168.88590604026845
Brooklyn,401-500,469.4259259259259,10.37037037037037,46.351851851851855,216.74074074074073
Brooklyn,500+,750.5490196078431,3.6862745098039214,45.09803921568628,189.9607843137255
Manhattan,0-100,,,,
Manhattan,101-200,151.42240300375468,5.2665832290362955,56.11795994993742,117.19336670838548
Manhattan,201-300,252.43139190523198,4.659427443237907,51.33366238894373,146.08193484698913
Manhattan,301-400,358.472602739726,5.215753424657534,45.57876712328767,158.12328767123287
Manhattan,401-500,466.4353741496599,6.2312925170068025,46.17006802721088,189.156462585034
Manhattan,500+,921.2290502793296,5.921787709497207,41.229050279329606,214.2905027932961
